z,sigma_0_2,sigma_1_0,sigma_2_0
-0.6400000000000001,-1.4046379124341002,0.2048000000000001,0.8979471805599454
-0.6299999999999999,-1.4109879124341003,0.19844999999999993,0.8915971805599452
-0.6200000000000001,-1.4172379124341001,0.19220000000000007,0.8853471805599453
-0.6099999999999999,-1.4233879124341002,0.18604999999999994,0.8791971805599452
-0.6000000000000001,-1.4294379124341003,0.18000000000000005,0.8731471805599453
-0.5899999999999999,-1.4353879124341002,0.17404999999999993,0.8671971805599452
-0.5800000000000001,-1.4412379124341002,0.16820000000000004,0.8613471805599453
-0.5699999999999998,-1.4469879124341003,0.1624499999999999,0.8555971805599452
-0.56,-1.4526379124341002,0.15680000000000002,0.8499471805599453
-0.5499999999999998,-1.4581879124341004,0.1512499999999999,0.8443971805599452
-0.54,-1.4636379124341004,0.1458,0.8389471805599453
-0.5299999999999998,-1.4689879124341003,0.1404499999999999,0.8335971805599451
-0.52,-1.4742379124341003,0.13520000000000001,0.8283471805599453
-0.5099999999999998,-1.4793879124341003,0.1300499999999999,0.8231971805599452
-0.5,-1.4844379124341003,0.125,0.8181471805599453
