split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Position.X,145,55,0.3793103448275862,112,2.3575775725,47.50639016354148,5.9703724727272744,41.084288000000015
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Position.Y,96,29,0.3020833333333333,80,1.713746643611111,46.68134598439153,16.176644448275866,168.9904059999999
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Position.Z,121,6,0.049586776859504134,31,1.5845958772222224,19.563347630528124,3.659518333333329,14.024928999999986
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Velocity,2,2,1.0,1,0.0036470161111110933,274.1967596340949,5.491528500000015,6.002775000000042
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Actuator Controls,17,0,0.0,3,0.5114270366666666,5.86593939098944,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Actuator Outputs,25,0,0.0,8,0.7446180683333333,10.743762930580333,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Actuator Outputs+Controls,42,0,0.0,11,1.2128293091666666,9.069701661116753,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Position.X,145,62,0.42758620689655175,99,2.3575775725,41.99225559098756,12.484319758064514,40.883005999999995
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Position.Y,96,35,0.3645833333333333,84,1.713746643611111,49.0154132836111,17.780142742857144,53.04146999999989
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Position.Z,121,11,0.09090909090909091,29,1.5845958772222224,18.301196170494052,25.893361909090903,84.97321199999999
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,7.015350499999954,8.036215999999968
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Actuator Controls,17,0,0.0,1,0.5114270366666666,1.9553131303298132,,
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Actuator Outputs,25,1,0.04,4,0.7446180683333333,5.3718814652901665,3.9689970000000017,3.9689970000000017
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Actuator Outputs+Controls,42,1,0.023809523809523808,5,1.2128293091666666,4.122591664143979,3.9689970000000017,3.9689970000000017
