pair,flight_count
KNHK->KGSB,1
KNHK->KLAW,1
KNHK->KNTD,1
KNHK->KOFF,1
KNHK->SBJH,1
KNIP->KAVL,1
KNIP->KCEW,1
KNEL->KTTN,1
KNFW->CYYT,1
KNFW->ETOU,1
KNFW->KAFW,1
KNFW->KCEW,1
KNFW->KGRK,1
KNFW->KLAW,1
KNFW->KMQY,1
KNFW->KNBG,1
KNGU->KNZY,1
EHGR->EPWR,1
EHGR->LIPA,1
EHKD->EHAM,1
EHKD->EHLE,1
EHLE->EGDY,1
EHTW->EGPH,1
EHVK->EHGR,1
EHVK->LLMZ,1
EHWO->EHRD,1
EGXW->EETN,1
EGXW->EGOV,1
EGYD->EGXC,1
EGYD->EGYE,1
KNGU->KSGJ,1
KNGU->KWRI,1
KNRB->KDAY,1
KNRB->KECP,1
KNRB->KEWN,1
KNRB->KILM,1
KNIP->KJAX,1
KNJK->KCRG,1
KNJK->KCRQ,1
KNKT->KNCA,1
KNKX->KCEW,1
KNKX->KCRQ,1
KNKX->KOGD,1
KNKX->KOKB,1
KNKX->KPSP,1
KNKX->KRIV,1
KNKX->KSBP,1
KNGU->KDYS,1
KNSE->KFTW,1
KNSE->KLRF,1
KNSE->KMCN,1
KNSE->KMGE,1
KNSE->KNEW,1
KNSE->KNPA,1
KNTU->KLFI,1
KNTU->KNEL,1
KNKX->LICC,1
KNLC->KNZY,1
KNPA->KBIX,1
KNPA->KDTS,1
KNPA->KGPT,1
KNPA->KNSE,1
KNQI->KCRP,1
KNQI->KHRL,1
KNRB->KNIP,1
KNSE->KDTS,1
EGYE->EGSC,1
EGYE->EGXC,1
EGYE->EGXT,1
EGYM->EGUL,1
EGYM->KLSV,1
EHAM->EGKK,1
EHAM->EHKD,1
EHBK->EBBR,1
EHEH->EDDK,1
EGVN->KPIT,1
EGWU->LFPN,1
EGWU->LTAE,1
EGXC->EGLK,1
EGXC->EGNJ,1
KOAK->KSFO,1
KNUQ->KSJC,1
KNUW->KCLM,1
KNUW->KGSO,1
KNUW->KPAE,1
KNUW->RODN,1
KNYG->KADW,1
KNYG->KBIS,1
KNYG->KDAA,1
KNYG->KFBG,1
KNYG->KHEF,1
KNYG->KIAD,1
KNYG->KMKL,1
KNYG->KMSN,1
KNYL->KBLH,1
KNZY->KGRK,1
KOKB->PHHN,1
KOKB->PHNG,1
KOKC->KABQ,1
